Name,Count,Year,Country
Andrea,2124,2020,Italy
Francesco,1845,2020,Italy
Marco,1737,2020,Italy
Alessandro,1691,2020,Italy
Giuseppe,1654,2020,Italy
Luca,1653,2020,Italy
Maria,1623,2020,Italy
Anna,1416,2020,Italy
Antonio,1359,2020,Italy
Francesca,1341,2020,Italy
Giovanni,1282,2020,Italy
Paolo,1253,2020,Italy
Stefano,1231,2020,Italy
Matteo,1219,2020,Italy
Roberto,1163,2020,Italy
Elena,1119,2020,Italy
Davide,1097,2020,Italy
Giulia,1071,2020,Italy
Sara,1021,2020,Italy
Laura,952,2020,Italy
Chiara,937,2020,Italy
Paola,933,2020,Italy
Lorenzo,919,2020,Italy
Daniela,820,2020,Italy
Luigi,815,2020,Italy
Daniele,804,2020,Italy
Riccardo,803,2020,Italy
Simone,799,2020,Italy
Gabriele,798,2020,Italy
Salvatore,776,2020,Italy
Massimo,770,2020,Italy
Silvia,756,2020,Italy
Federico,750,2020,Italy
Alberto,744,2020,Italy
Claudio,706,2020,Italy
Cristina,690,2020,Italy
Fabio,679,2020,Italy
Valentina,679,2020,Italy
Martina,678,2020,Italy
Monica,671,2020,Italy
Federica,668,2020,Italy
Elisa,659,2020,Italy
Vincenzo,655,2020,Italy
Lucia,639,2020,Italy
Giorgio,633,2020,Italy
Franco,617,2020,Italy
Patrizia,615,2020,Italy
Mattia,609,2020,Italy
Giovanna,603,2020,Italy
Angela,603,2020,Italy
Pietro,600,2020,Italy
Mauro,594,2020,Italy
Alessandra,593,2020,Italy
Michele,587,2020,Italy
Barbara,580,2020,Italy
Mario,560,2020,Italy
Giuseppina,555,2020,Italy
Domenico,555,2020,Italy
Maurizio,541,2020,Italy
Stefania,536,2020,Italy
Filippo,521,2020,Italy
Roberta,521,2020,Italy
Simona,519,2020,Italy
Antonella,518,2020,Italy
Alessia,511,2020,Italy
Alice,505,2020,Italy
Claudia,505,2020,Italy
Luciano,494,2020,Italy
Carla,493,2020,Italy
Sofia,489,2020,Italy
Enrico,482,2020,Italy
Leonardo,463,2020,Italy
Carlo,460,2020,Italy
Elisabetta,449,2020,Italy
Giorgia,439,2020,Italy
Angelo,433,2020,Italy
Franca,431,2020,Italy
Fabrizio,427,2020,Italy
Sergio,424,2020,Italy
Nicola,413,2020,Italy
Gianluca,413,2020,Italy
Cristian,411,2020,Italy
Caterina,410,2020,Italy
Rita,403,2020,Italy
Tommaso,402,2020,Italy
Luisa,399,2020,Italy
Annamaria,394,2020,Italy
Eleonora,383,2020,Italy
Gianni,378,2020,Italy
Emanuele,378,2020,Italy
Silvana,358,2020,Italy
Rosa,352,2020,Italy
Marina,349,2020,Italy
Marta,347,2020,Italy
Ilaria,346,2020,Italy
Giuliano,343,2020,Italy
Beatrice,341,2020,Italy
Marisa,339,2020,Italy
Valeria,337,2020,Italy
Giacomo,335,2020,Italy
Tiziana,317,2020,Italy
Cinzia,316,2020,Italy
Teresa,314,2020,Italy
Raffaele,313,2020,Italy
Massimiliano,309,2020,Italy
Corrado,308,2020,Italy
Rosanna,307,2020,Italy
Annalisa,305,2020,Italy
Samuele,302,2020,Italy
Giuliana,299,2020,Italy
Manuela,298,2020,Italy
Matilde,297,2020,Italy
Margherita,294,2020,Italy
Arianna,294,2020,Italy
Veronica,291,2020,Italy
Aurora,289,2020,Italy
Annamaria,289,2020,Italy
Nicolo',288,2020,Italy
Bruno,288,2020,Italy
Giancarlo,282,2020,Italy
Greta,278,2020,Italy
Sabrina,278,2020,Italy
Emma,274,2020,Italy
Loredana,274,2020,Italy
Ivan,273,2020,Italy
Nadia,271,2020,Italy
Antonietta,270,2020,Italy
Cecilia,269,2020,Italy
Luciana,269,2020,Italy
Carmela,267,2020,Italy
Emanuela,266,2020,Italy
Gabriella,265,2020,Italy
Christian,264,2020,Italy
Sonia,263,2020,Italy
Alex,261,2020,Italy
Irene,252,2020,Italy
Pasquale,250,2020,Italy
